Question 1,Reason 1,Question 2,Reason 2,Relative_difficulty
What is the RNN-RBM model?,"[""Appears towards the end of the book or is otherwise hidden"", ""Involves many prerequisite concepts""]",What is a heuristic technique for performing block updates in binary sparse coding?,"[""Involves intricate mathematics"", ""Is about an obscure concept"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",Second question is more difficult
What is the core idea of a Markov chain?,"[""Appears towards the end of the book or is otherwise hidden"", ""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",What is the obstracles in knowing whether a Markov chain has mixed or not?,"[""Appears towards the end of the book or is otherwise hidden"", ""Involves intricate mathematics"", ""Is about an obscure concept"", ""Involves many prerequisite concepts""]",Second question is more difficult
"What is steepest descent, or gradient descent.","[""Is about a fundamental concept"", ""Involves very little or no mathematics""]",Why feedforward neural networks are called feedforward?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept""]",First question is more difficult
How to produce an output map of similar size as the input in CNN?,"[""Is about an obscure concept"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts""]",How to obtain a valid probability distribution from the unnormalized probability distribution?,"[""Involves intricate mathematics"", ""Is about a fundamental concept""]",Second question is more difficult
What does second derivative tells us?,"[""Is about a fundamental concept""]",What is the advantage of deriving the cost function from maximum likelihood for deep neural networks?,"[""Is about a fundamental concept"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",Second question is more difficult
What is a strong prior ?,"[""Is about a fundamental concept"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",How do you define a recurrent neural network by computational graphs?,"[""Is about a fundamental concept"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",Second question is more difficult
How can you learn the weights of a linear regression model ?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",What are different generalization of rectified linear unit?,"[""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",Second question is more difficult
What is singular value decomposition of a matrix A?,"[""Involves intricate mathematics"", ""Appears early in the book or is otherwise highlighted"", ""Is about an obscure concept"", ""Involves very little or no mathematics""]",How does the pseudoinverse of matrix A help in solving Ax = y?,"[""Involves intricate mathematics"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",They are equally difficult
How does the pseudoinverse of matrix A help in solving Ax = y?,"[""Involves intricate mathematics"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",Describe stochastic matrices.,"[""Is about a fundamental concept"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",First question is more difficult
Why structured probabilistic models are called graphical models?,"[""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",What do the edges in a graphical model indicate?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Is about an obscure concept"", ""Involves very little or no mathematics""]",First question is more difficult
